SGB013	Roseburia sp. CAG:303 (SGB013)
SGB057	Roseburia sp. CAG:309 (SGB057)
SGB098	Ruminococcaceae bacterium (SGB098)
SGB173	Ruminococcaceae bacterium (SGB173)
SGB188	Ruminococcaceae bacterium (SGB188)
SGB247	Ruminococcaceae bacterium (SGB247)
SGB296	Ruminococcus flavefaciens (SGB296)
SGB039	Ruthenibacterium lactatiformans (SGB039)
SGB122	Ruthenibacterium lactatiformans (SGB122)
SGB194	Turicibacter sanguinis (SGB194)
SGB094	uncultured Clostridium sp. (SGB094)
SGB226	uncultured Clostridium sp. (SGB226)
SGB106	uncultured Flavonifractor sp. (SGB106)
SGB125	uncultured Flavonifractor sp. (SGB125)
SGB141	uncultured Flavonifractor sp. (SGB141)
SGB149	uncultured Flavonifractor sp. (SGB149)
SGB151	uncultured Flavonifractor sp. (SGB151)
SGB299	uncultured Flavonifractor sp. (SGB299)
