group	len	dose
BC	14.7693	IL-10
BC	17.79727	IL-10
BC	15.87683	IL-10
BC	19.34643	IL-10
BC	20.34632	IL-10
BC	18.45622	IL-10
BC	15.34535	IL-10
BC	14.45766	IL-10
BC	13.65868	IL-10
BC	15.68564	IL-10
BC	11.56534	IL-10
BC	13.68794	IL-10
MC	8.653903	IL-10
MC	2.673136	IL-10
MC	6.64079	IL-10
MC	5.23522	IL-10
MC	7.42214	IL-10
MC	9.45352	IL-10
MC	10.44221	IL-10
MC	8.457689	IL-10
MC	8.223456	IL-10
MC	6.235354	IL-10
MC	5.135345	IL-10
MC	7.568769	IL-10
PP	34.71947	IL-10
PP	56.62243	IL-10
PP	23.63992	IL-10
PP	31.63205	IL-10
PP	29.66439	IL-10
PP	36.84623	IL-10
PP	21.81388	IL-10
PP	35.25352	IL-10
PP	36.45658	IL-10
PP	31.32411	IL-10
PP	32.32141	IL-10
PP	29.31231	IL-10
PT	37.69849	IL-10
PT	23.79203	IL-10
PT	16.79115	IL-10
PT	19.72821	IL-10
PT	39.67401	IL-10
PT	42.688	IL-10
PT	17.61369	IL-10
PT	26.64516	IL-10
PT	26.24234	IL-10
PT	24.32432	IL-10
PT	21.45645	IL-10
PT	22.56464	IL-10
AT	79.62768	IL-10
AT	94.68362	IL-10
AT	99.69849	IL-10
AT	85.76755	IL-10
AT	81.23523	IL-10
AT	85.23421	IL-10
AT	87.23424	IL-10
AT	88.23547	IL-10
AT	83.4363	IL-10
AT	89.23411	IL-10
AT	92.24625	IL-10
AT	99.43656	IL-10
APT	104.6067	IL-10
APT	93.6845	IL-10
APT	102.6749	IL-10
APT	92.66177	IL-10
APT	105.6897	IL-10
APT	98.86896	IL-10
APT	107.924	IL-10
APT	86.99747	IL-10
APT	108.1232	IL-10
APT	111.2321	IL-10
APT	104.4723	IL-10
APT	101.4534	IL-10
