Group	K03073	K03234	K18122	K23352	K19449	K18979	K16899	K13587	K08679	K07106	K06320	K01599
Probio-M9 treatment_30	0.000562666	0.000114947	0.000169901	0.000230353	0.000293	0.000504365	0.00038603	0.000110946	0.000156144	0.00016664	4.35E-05	0.000186608
Probio-M9 treatment_30	0.000539302	0.000135847	0.000152989	0.000197378	0.000256359	0.000486902	0.000343957	6.63E-05	0.00018131	0.000117078	5.67E-05	0.000152992
Probio-M9 treatment_30	0.000547432	0.000211384	0.000190484	0.000250144	0.00016433	0.000466212	0.000496418	0.000132615	0.000146277	0.000247999	4.73E-05	0.000148137
Probio-M9 treatment_30	0.00056262	0.000147164	6.85E-05	0.000147624	0.000142417	0.000257973	0.000343557	0.000222744	0.000195523	0.000234917	0.000150562	0.000232175
Probio-M9 treatment_30	0.000539694	0.000207004	0.000177572	0.000261968	0.000201725	0.00036633	0.000549514	0.000120779	0.000165782	0.000240595	0.000109989	0.000134736
Probio-M9 treatment_30	0.00051986	0.000166879	0.000152213	0.000219355	0.000220565	0.000423697	0.000500553	0.000102158	0.000157206	0.000191355	0.000151247	0.000210503
Antibiotic_30	0.00040183	6.46E-05	6.07E-05	6.92E-05	4.77E-05	0.000265936	0.000360113	0.000178743	7.40E-05	0.000229377	5.50E-05	0.000508224
Antibiotic_30	0.000535964	0.000102124	4.61E-05	7.06E-05	0.000135746	0.000266522	0.000342911	6.78E-05	3.49E-05	0.000266269	2.43E-05	0.000385638
Antibiotic_30	0.000396256	0.000128984	7.68E-05	9.08E-05	0.000101587	0.000211767	0.000347123	0.000164492	7.84E-05	0.000219208	7.28E-05	0.000592145
Antibiotic_30	0.000425714	7.47E-05	8.23E-05	0.00010721	9.20E-05	0.000417922	0.000307151	0.000114927	6.77E-05	0.00023556	7.55E-05	0.000406679
Antibiotic_30	0.000464405	5.38E-05	7.82E-05	9.31E-05	9.46E-05	0.000396207	0.000332608	0.000162341	8.74E-05	0.00018371	7.87E-05	0.000299721
Antibiotic_30	0.000446344	9.94E-05	6.43E-05	9.05E-05	8.50E-05	0.000346819	0.000345331	0.000187712	5.77E-05	0.000219837	7.35E-05	0.000363648
Antibiotic_30	0.000540843	9.01E-05	5.92E-05	6.98E-05	0.000112502	0.000326891	0.000320231	0.00016978	7.05E-05	0.000258781	7.82E-05	0.000440731
Antibiotic_30	0.000471372	0.000101334	4.09E-05	7.11E-05	0.000107777	0.000336699	0.000381817	0.000287592	5.49E-05	0.000243538	2.99E-05	0.000288134
Antibiotic_30	0.000419569	7.33E-05	7.57E-05	8.95E-05	0.000100418	0.000303056	0.000316703	0.000170637	6.88E-05	0.000195892	6.06E-05	0.00041601
Antibiotic+Probio-M9_30	0.000448774	8.36E-05	9.78E-05	7.99E-05	8.52E-05	0.00036083	0.000362287	0.000163537	5.92E-05	0.000229152	8.59E-05	0.000228089
Antibiotic+Probio-M9_30	0.000395871	7.13E-05	8.06E-05	0.00011935	4.92E-05	0.000319391	0.000349621	0.000130947	9.19E-05	0.000233202	9.20E-05	0.000428939
Antibiotic+Probio-M9_30	0.000489842	0.000104991	8.51E-05	9.73E-05	8.80E-05	0.000230172	0.00041947	0.000216766	5.58E-05	0.000182178	0.000144523	0.000378551
Antibiotic+Probio-M9_30	0.000469261	9.71E-05	0.000135761	0.000116671	5.09E-05	0.000233748	0.000414894	0.000134862	0.000161964	0.000259228	0.000116876	0.000476401
Antibiotic+Probio-M9_30	0.000442263	9.86E-05	9.76E-05	0.000121074	8.88E-05	0.000338144	0.000393159	0.000151894	6.09E-05	0.000225694	0.000119378	0.00038223
Antibiotic+Probio-M9_30	0.000421053	7.39E-05	7.88E-05	0.000112132	8.81E-05	0.000296869	0.000429375	0.000226375	5.40E-05	0.000287863	6.38E-05	0.000456647
Antibiotic+Probio-M9_30	0.000494521	7.98E-05	7.27E-05	0.000119902	7.66E-05	0.000329674	0.000351293	0.000182084	6.72E-05	0.000179182	8.52E-05	0.000374366
